matched_name,species,X,Tips,Order,Familly,Genus,Mass,Longevity_Species,SexMatF_Species
Podiceps cristatus,Podiceps cristatus,,Podiceps_cristatus_NC008140,Podicipediformes,,Podiceps,673.5,19.2,730
Podoces hendersoni,Podoces hendersoni,,Podoces_hendersoni_NC014879,Podicipediformes,,Podoces,120.5,NA,NA
Poecile atricapillus,Poecile atricapillus,,Poecile_atricapilla,Passeriformes,,Poecile,10.8,12.4,180
Poecile palustris,Poecile palustris,,Poecile_palustris_NC_026911,Passeriformes,,Poecile,10.9,11.9,365
Polyplectron bicalcaratum,Polyplectron bicalcaratum,,Polyplectron_bicalcaratum_NC012900,Galliformes,,Polyplectron,582.5,NA,NA
Polyplectron germaini,Polyplectron germaini,,Polyplectron_germaini_NC023264,Galliformes,,Polyplectron,453.5,NA,NA
Porphyrio hochstetteri,Porphyrio hochstetteri,,Porphyrio_hochstetteri_NC010092,Gruiformes,,Porphyrio,2500,NA,NA
Porphyrio porphyrio,Porphyrio porphyrio,,Porphyrio_porphyrio_NC025508,Gruiformes,,Porphyrio,988,NA,NA
Primolius couloni,Primolius couloni,,Primolius_couloni_NC025742,Psittaciformes,,Primolius,250,31,NA
Procellaria cinerea,Procellaria cinerea,,Procellaria_cinerea_AP009191,Procellariformes,,Procellaria,1131,17,NA
Pseudoleistes guirahuro,Pseudoleistes guirahuro,,Pseudoleistes_guirahuro_NC018809,Passeriformes,Icteridae,Pseudoleistes,86.55,NA,NA
Pseudoleistes virescens,Pseudoleistes virescens,,Pseudoleistes_virescens_NC018805,Passeriformes,Icteridae,Pseudoleistes,79.95,NA,NA
Pseudopodoces humilis,Pseudopodoces humilis,,Pseudopodoces_humilisreal,Passeriformes,,Pseudopodoces,NA,NA,NA
Pycnonotus sinensis,Pycnonotus sinensis,,Pycnonotus_sinensis_NC013838,Passeriformes,,Pycnonotus,34.2,9.95,NA
Pycnonotus taivanus,Pycnonotus taivanus,,Pycnonotus_taivanus_NC013483,Passeriformes,,Pycnonotus,26.5,9.95,NA
Pygoscelis adeliae,Pygoscelis adeliae,,Pygoscelis_adeliae_GQ925791,Sphenisciformes,,Pygoscelis,4850,NA,730
Pygoscelis antarcticus,Pygoscelis antarcticus,,Pygoscelis_antarcticus_NC021474_,Sphenisciformes,,Pygoscelis,4155.5,NA,730
Pyrgilauda blanfordi,Pyrgilauda blanfordi,,Pyrgilauda_blanfordi,Passeriformes,,Pyrgilauda,NA,NA,NA
Pyrgilauda davidiana,Pyrgilauda davidiana,,Pyrgilauda_davidiana,Passeriformes,,Pyrgilauda,NA,NA,NA
Pyrrhocorax graculus,Pyrrhocorax graculus,,Pyrrhocorax_graculus,Passeriformes,,Pyrrhocorax,211.5,24.4,1095
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,,Pyrrhocorax_pyrrhocorax,Passeriformes,,Pyrrhocorax,287.5,20.3,730
Pyrrhula pyrrhula,Pyrrhula pyrrhula,,Pyrrhula_pyrrhula,Passeriformes,,Pyrrhula,21.8,17.5,365
Quiscalus quiscula,Quiscalus quiscula,,Quiscalus_quiscula_NC018803,Passeriformes,Icteridae,Quiscalus,106.1,23.1,365
Rallina eurizonoides,Rallina eurizonoides,,Rallina_eurizonoides_NC012142,Gruiformes,,Rallina,109,NA,NA
Regulus regulus,Regulus regulus,,NA,NA,NA,NA,NA,NA,NA
Rhabdotorrhinus corrugatus,Aceros corrugatus,,Aceros_corrugatus_HM755883,Bucerotiformes,Bucerotidae,Aceros,1590,NA,NA
Rhabdotorrhinus waldeni,Aceros waldeni,,Aceros_waldenii_HQ834450,Bucerotiformes,Bucerotidae,Aceros,NA,NA,NA
Rhea americana,Rhea americana,,Rhea_americana_NC000846,Rheiformes,,Rhea,23000,NA,426
Rhea pennata,Pterocnemia pennata,,Pterocnemia_pennata_NC002783,Rheiformes,,Pterocnemia,23900,NA,NA
Rhynchopsitta terrisi,Rhynchopsitta terrisi,,Rhynchopsitta_terrisi_NC021771,Psittaciformes,,Rhynchopsitta,442,33,730
Rhynchortyx cinctus,Rhynchortyx cinctus,,Rhynchortyx_cinctus,Galliformes,,Rhynchortyx,150,NA,NA
Rhynochetos jubatus,Rhynochetos jubatus,,NA,NA,NA,NA,NA,NA,NA
Rynchops niger,Rynchops niger,,Rhynchops_niger,Charadriiformes,,Rynchops,301.5,20.2,730
Sagittarius serpentarius,Sagittarius serpentarius,,Sagittarius_serpentarius_NC023788,Accipitriformes,,Sagittarius,4017,NA,NA
Sasia ochracea,Sasia ochracea,,Sasia_ochracea,Piciformes,,Sasia,9.7,NA,NA
Saxicola rubicola,Saxicola rubicola,,Saxicola_rubicola_AV7,Passeriformes,,Saxicola,15.3,NA,NA
Saxicola torquatus,Saxicola torquata,,Saxicola_torquata_AV6,Passeriformes,,Saxicola,15.75,8.8,365
Scolopax rusticola,Scolopax rusticola,,Scolopax_rusticola_NC025521,Charadriiformes,,Scolopax,309.5,15.5,365
Scytalopus magellanicus,Scytalopus magellanicus,,NA,NA,NA,NA,NA,NA,NA
Smithornis sharpei,Smithornis sharpei,,NA,NA,NA,NA,NA,NA,NA
Spheniscus demersus,Spheniscus demersus,,Spheniscus_demersus_NC022817,Sphenisciformes,,Spheniscus,3135,27.3,1040
Spilornis cheela,Spilornis cheela,,Spilornis_cheela_NC015887,Accipitriformes,,Spilornis,900,NA,NA
Spinus pinus,Carduelis pinus,,Carduelis_pinus,Passeriformes,,Carduelis,12.7,11,NA
Spinus spinus,Carduelis spinus,,Carduelis_spinus_NC015198,Passeriformes,,Carduelis,13.25,13.5,365
Stercorarius maccormicki,Stercorarius maccormicki,,Stercorarius_maccormicki_NC026125,Charadriiformes,,Stercorarius,1349,23.5,1695
Sterna eurygnatha,Sterna eurygnatha,,Sterna_eurygnatha,Charadriiformes,,Sterna,116,29.35,1095
Sula dactylatra,Sula dactylatra,,Sula_dactylatra_KC875857,Suliformes,,Sula,1713,25.5,1461
Sylvia atricapilla,Sylvia atricapilla,,Sylvia_atricapilla_NC010228,Passeriformes,,Sylvia,16.7,13.8,365
Sylvia crassirostris,Sylvia crassirostris,,Sylvia_crassirostris_NC010229,Passeriformes,,Sylvia,21.9,NA,NA
Synthliboramphus antiquus,Synthliboramphus antiquus,,Synthliboramphus_antiquus_NC007978,Charadriiformes,Alcidae,Synthliboramphus,207,15,730
Syrmaticus ellioti,Syrmaticus ellioti,,Syrmaticus_ellioti_NC010771,Galliformes,,Syrmaticus,1017,NA,NA
Syrmaticus humiae,Syrmaticus humiae,,Syrmaticus_humiae_NC010774,Galliformes,,Syrmaticus,888.75,NA,NA
Tachybaptus novaehollandiae,Tachybaptus novaehollandiae,,Tachypatpus_novaehollandiae_NC010095,Podicipediformes,,Tachybaptus,219,17.5,365
Tachycineta albilinea,Tachycineta albilinea,,Tachycineta_albilinea_NC020601,Passeriformes,,Tachycineta,16.7,NA,NA
Tachycineta albiventer,Tachycineta albiventer,,Tachycineta_albiventer_NC020602,Passeriformes,,Tachycineta,17.7,NA,NA
Tachycineta cyaneoviridis,Tachycineta cyaneoviridis,,Tachycineta_cyaneoviridis_NC020599,Passeriformes,,Tachycineta,17.5,NA,NA
Tachycineta euchrysea,Tachycineta euchrysea,,Tachycineta_euchrysea_NC020598,Passeriformes,,Tachycineta,NA,NA,NA
Tachycineta leucorrhoa,Tachycineta leucorrhoa,,Tachycineta_leucorrhoa_NC020603,Passeriformes,,Tachycineta,15.3,NA,NA
Tachycineta meyeni,Tachycineta meyeni,,Tachycineta_meyeni_NC020604,Passeriformes,,Tachycineta,14.9,NA,NA
Taeniopygia guttata,Taeniopygia guttata,,Taeniopygia_guttata_NC_007897_,Passeriformes,,Taeniopygia,12.05,12,60
Tarsiger cyanurus,Luscinia cyanura,,Luscinia_cyanura,Passeriformes,,Luscinia,NA,10.9,365
Tetraophasis obscurus,Tetraophasis obscurus,,Tetraophasis_obscurus_NC018034,Galliformes,,Tetraophasis,859,NA,NA
Tetraophasis szechenyii,Tetraophasis szechenyii,,Tetraophasis_szechenyii_NC020613,Galliformes,,Tetraophasis,1070,NA,NA
Tetrastes sewerzowi,Tetrastes sewerzowi,,Tetrastes_sewerzowi_NC025318,Galliformes,,Tetrastes,267.5,7.2,NA
Thalassarche chrysostoma,Diomedea chrysostoma,,Diomedea_chrysostoma_AP009193,Procellariformes,,Diomedea,3507.5,47.2,NA
Thalassarche melanophris,Diomedea melanophrys,,Diomedea_melanohprys_NC007172,Procellariformes,,Diomedea,3564,NA,NA
Thamnophilus nigrocinereus,Thamnophilus nigrocinereus,,NA,NA,NA,NA,NA,NA,NA
Thraupis episcopus,Thraupis episcopus,,Thraupis_episcopus,Passeriformes,,Thraupis,35,9.5,NA
Todiramphus sanctus,Halcyon sancta,,Halcyon_sancta_NC011712,Coraciiformes,,Halcyon,43.7,5.5,NA
Tragopan caboti,Tragopan caboti,,Tragopan_caboti_NC013619,Galliformes,,Tragopan,1150,NA,NA
Tragopan temminckii,Tragopan temminckii,,Tragopan_temminckii_NC020586,Galliformes,,Tragopan,1184,NA,NA
Tregellasia leucops,Tregellasia leucops,,Tregellasia_leucops,Passeriformes,,Tregellasia,14.85,NA,NA
Turdus hortulorum,Turdus hortulorum,,Turdus_hortulorum,Passeriformes,,Turdus,66.7,NA,NA
Turdus naumanni,Turdus naumanni,,Turdus_naumanni_KJ834096,Passeriformes,,Turdus,77.9,NA,NA
Turtur tympanistria,Turtur tympanistria,,Turtur_tympanistria_HM746793,Columbiformes,,Turtur,67.7,NA,NA
Tyto alba,Tyto alba,,Tyto_alba_EU410491,Strigiformes,,Tyto,350,34,365
Urocissa erythroryncha,Urocissa erythrorhyncha,,NA,NA,NA,NA,NA,NA,NA
Vanellus cinereus,Vanellus cinereus,,Vanellus_cinereus_KM873665,Charadriiformes,,Vanellus,270,NA,NA
Vanellus vanellus,Vanellus vanellus,,Vanellus_vanellus_NC025637,Charadriiformes,,Vanellus,218.5,24.5,730
Vidua chalybeata,Vidua chalybeata,,Vidua_chalybeata_NC000880,Passeriformes,,Vidua,12.5,NA,NA
Vireo olivaceus,Vireo olivaceus,,Vireo_olivaceus,Passeriformes,,Vireo,16.8,10.2,365
Zenaida auriculata,Zenaida auriculata,,Zenaida_auriculata_HM640211,Columbiformes,,Zenaida,136,28.15,227.5
