species,matched_name,order,longevity_maxrecorded,clutchsize_min,clutchsize_max,clutchsize_mean.usual,X.maxsuccesful._clutches_per_year,firstbreeding_minmonths,firstbreeding_maxmonths,firstbreeding_meanmonths
Caprimulgus indicus,Caprimulgus indicus,Caprimulgiformes,NA,1,2,NA,NA,NA,NA,NA
Carduelis psaltria,NA,Passeriformes,5,2,5,NA,1,NA,NA,NA
Carpodacus erythrinus,Carpodacus erythrinus,Passeriformes,9,4,6,NA,NA,NA,NA,12
Ceryle rudis,Ceryle rudis,Coraciiformes,NA,1,7,NA,NA,NA,NA,12
Charadrius vociferus,NA,Charadriiformes,6,3,5,4,2,NA,NA,12
Chrysolampis mosquitus,NA,Apodiformes,NA,NA,NA,2,NA,NA,NA,24
Chrysolophus pictus,Chrysolophus pictus,Galliformes,NA,5,12,NA,NA,NA,NA,NA
Ciconia nigra,NA,Ciconiiformes,31,2,6,NA,NA,NA,36,NA
Corvus corone,NA,Passeriformes,NA,NA,NA,4,1,15,17,NA
Coturnicops exquisitus,NA,Gruiformes,NA,NA,NA,NA,NA,NA,NA,NA
Cursorius temminckii,NA,Charadriiformes,NA,NA,NA,2,NA,NA,NA,NA
Cyanoptila cyanomelana,NA,Passeriformes,NA,4,6,NA,NA,NA,NA,NA
Cygnus cygnus,NA,Anseriformes,25,2,12,NA,1,NA,84,48
Dendrocygna javanica,NA,Anseriformes,NA,7,17,10,2,NA,NA,12
Dives dives,NA,Passeriformes,NA,3,4,NA,NA,NA,NA,NA
Dromaius novaehollandiae,NA,Casuariiformes,10,5,24,NA,NA,24,36,NA
Egretta garzetta,NA,Pelecaniformes,NA,1,7,NA,1,NA,NA,12
Egretta intermedia,Ardea intermedia,Pelecaniformes,NA,2,6,NA,NA,NA,NA,NA
Egretta novaehollandiae,NA,Pelecaniformes,NA,2,7,NA,2,NA,NA,NA
Emberiza cioides,NA,Passeriformes,NA,3,6,4,3,NA,NA,NA
Emberiza spodocephala,NA,Passeriformes,NA,4,5,NA,2,NA,NA,NA
Emeus crassus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eudynamys taitensis,NA,Cuculiformes,NA,NA,NA,NA,NA,NA,NA,NA
Eudyptes chrysocome,NA,Sphenisciformes,NA,NA,NA,2,NA,NA,NA,NA
Eurystomus orientalis,NA,Coraciiformes,NA,3,5,NA,NA,NA,NA,NA
Falco columbarius,NA,Falconiformes,10,3,6,NA,NA,NA,NA,12
Falco sparverius,NA,Falconiformes,9,4,6,NA,2,NA,NA,12
Falco tinnunculus,NA,Falconiformes,16,1,7,NA,NA,NA,NA,12
Francolinus pintadeanus,NA,Galliformes,NA,3,8,NA,NA,NA,NA,NA
Fringilla montifringilla,NA,Passeriformes,14,5,7,NA,2,NA,NA,12
Gallus lafayetii,NA,Galliformes,NA,2,4,2,NA,NA,NA,NA
Gallus sonneratii,NA,Galliformes,NA,2,5,NA,NA,NA,NA,NA
Gallus varius,NA,Galliformes,NA,3,12,8,NA,NA,NA,NA
Garrulus glandarius,NA,Passeriformes,NA,3,10,NA,NA,12,NA,24
Geotrygon violacea,NA,Columbiformes,NA,NA,NA,2,NA,NA,NA,NA
Gnorimopsar chopi,NA,Passeriformes,NA,3,5,NA,NA,NA,NA,NA
Gracula religiosa,NA,Passeriformes,NA,2,3,NA,3,NA,NA,NA
Gracupica nigricollis,NA,Passeriformes,NA,3,5,NA,NA,NA,NA,NA
Grus americana,NA,Gruiformes,40,NA,NA,2,NA,24,NA,48
Grus canadensis,NA,Gruiformes,NA,NA,NA,2,NA,24,36,NA
Grus grus,NA,Gruiformes,NA,NA,NA,2,NA,48,72,NA
Grus japonensis,NA,Gruiformes,NA,NA,NA,2,NA,36,48,NA
Grus leucogeranus,NA,Gruiformes,NA,NA,NA,2,NA,NA,NA,36
Grus vipio,NA,Gruiformes,NA,NA,NA,2,NA,24,36,NA
Heliornis fulica,NA,Gruiformes,NA,2,4,2,NA,NA,NA,NA
Hemiphaga novaeseelandiae,NA,Columbiformes,NA,NA,NA,1,NA,NA,NA,NA
Icterus mesomelas,NA,Passeriformes,NA,NA,NA,3,NA,NA,NA,NA
Ithaginis cruentus,NA,Galliformes,NA,2,7,NA,NA,NA,NA,NA
Ixobrychus flavicollis,NA,Pelecaniformes,NA,2,6,4,2,NA,NA,NA
Ixobrychus sinensis,NA,Pelecaniformes,NA,3,7,NA,3,NA,NA,NA
Lampropsar tanagrinus,NA,Passeriformes,NA,NA,NA,3,NA,NA,NA,NA
Lanius tephronotus,NA,Passeriformes,NA,4,6,NA,2,NA,NA,NA
Larus relictus,NA,Charadriiformes,NA,2,3,NA,NA,NA,NA,36
Larus ridibundus,NA,Charadriiformes,32,1,3,NA,NA,24,NA,NA
Larus saundersi,NA,Charadriiformes,NA,1,6,3,NA,NA,NA,NA
Lewinia muelleri,NA,Gruiformes,NA,NA,NA,2,NA,NA,NA,NA
Lophura ignita,NA,Galliformes,NA,4,8,NA,NA,NA,NA,NA
Luscinia calliope,NA,Passeriformes,NA,3,6,NA,1,NA,NA,NA
Melamprosops phaeosoma,NA,Passeriformes,NA,1,2,NA,NA,NA,NA,NA
Meleagris gallopavo,NA,Galliformes,NA,8,20,NA,1,12,24,NA
Menura novaehollandiae,NA,Passeriformes,26,NA,NA,1,NA,60,96,NA
Micrastur gilvicollis,NA,Falconiformes,NA,NA,NA,NA,NA,NA,NA,NA
Molothrus aeneus,NA,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Neophema chrysogaster,NA,Psittaciformes,NA,3,6,NA,NA,NA,NA,NA
Nesopsar nigerrimus,NA,Passeriformes,NA,NA,NA,2,NA,NA,NA,NA
Netta rufina,NA,Anseriformes,7,6,14,NA,1,NA,24,12
Nipponia nippon,NA,Pelecaniformes,36,1,5,3,1,24,48,36
Nucifraga columbiana,NA,Passeriformes,17,2,6,NA,NA,NA,NA,24
Nycticorax nycticorax,NA,Pelecaniformes,16,1,8,NA,1,12,36,NA
Nycticryphes semicollaris,NA,Charadriiformes,NA,2,3,2,NA,NA,NA,NA
Nymphicus hollandicus,NA,Psittaciformes,NA,1,7,4,NA,NA,NA,NA
Otis tarda,NA,Otidiformes,NA,1,4,NA,NA,24,72,NA
Pandion haliaetus,NA,Accipitriformes,25,1,4,3,1,NA,NA,36
Paradoxornis webbianus,NA,Passeriformes,NA,3,7,NA,2,NA,NA,NA
Pelagodroma marina,NA,Procellariiformes,21,NA,NA,1,NA,NA,NA,36
Penelopides panini,NA,Bucerotiformes,NA,2,3,NA,NA,NA,NA,NA
Pericrocotus ethologus,NA,Passeriformes,NA,3,4,NA,NA,NA,NA,NA
Petroica goodenovii,NA,Passeriformes,5,1,4,NA,4,NA,NA,NA
Phaethon rubricauda,NA,Phaethontiformes,9,NA,NA,1,NA,NA,NA,NA
Phoenicopterus ruber,NA,Phoenicopteriformes,44,1,2,NA,NA,36,72,NA
Phylloscopus inornatus,NA,Passeriformes,NA,2,7,NA,1,NA,NA,12
Picathartes gymnocephalus,NA,Passeriformes,NA,NA,NA,2,NA,NA,NA,NA
Progne chalybea,NA,Passeriformes,NA,2,5,NA,NA,NA,NA,NA
Pterocles namaqua,NA,Pteroclidiformes,NA,NA,NA,3,NA,NA,NA,NA
Pteroglossus azara,NA,Piciformes,NA,2,4,NA,NA,NA,NA,NA
Ptilopachus petrosus,NA,Galliformes,NA,4,6,NA,NA,NA,NA,NA
Pucrasia macrolopha,NA,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA
Pycnonotus melanicterus,NA,Passeriformes,NA,2,3,NA,2,NA,NA,NA
Remiz consobrinus,NA,Passeriformes,NA,5,10,NA,NA,NA,NA,NA
Rissa tridactyla,NA,Charadriiformes,NA,1,3,2,NA,NA,NA,48
Saxicola torquatus,Saxicola torquatus,Passeriformes,6,2,7,NA,4,NA,NA,12
Serinus canaria,NA,Passeriformes,NA,3,4,NA,3,NA,NA,NA
Serinus serinus,NA,Passeriformes,NA,3,4,NA,2,NA,NA,12
Sitta carolinensis,NA,Passeriformes,NA,3,10,NA,1,NA,NA,NA
Streptopelia chinensis,NA,Columbiformes,NA,NA,3,2,NA,NA,NA,NA
Strigops habroptilus,NA,Psittaciformes,NA,1,3,NA,NA,NA,132,NA
Struthio camelus,NA,Struthioniformes,NA,2,11,NA,NA,36,48,NA
Sylvia hortensis,NA,Passeriformes,14,3,6,NA,1,NA,NA,NA
Sylviparus modestus,NA,Passeriformes,NA,4,6,NA,NA,NA,NA,NA
Syrmaticus reevesii,NA,Galliformes,NA,6,15,NA,NA,NA,NA,NA
Tachycineta bicolor,NA,Passeriformes,12,2,8,NA,1,NA,NA,NA
Tachycineta stolzmanni,NA,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Tachycineta thalassina,NA,Passeriformes,NA,2,7,NA,1,NA,NA,NA
Tadorna ferruginea,NA,Anseriformes,NA,6,16,NA,NA,NA,NA,24
Tetrao tetrix,NA,Galliformes,5,6,11,8,NA,NA,NA,12
Tetraogallus tibetanus,NA,Galliformes,NA,4,7,NA,NA,NA,NA,NA
Threskiornis aethiopicus,NA,Pelecaniformes,21,2,5,NA,NA,NA,NA,NA
Todiramphus sanctus,Todiramphus sanctus,Coraciiformes,8,3,7,NA,2,NA,NA,NA
Trogon viridis,NA,Trogoniformes,NA,2,3,NA,NA,NA,NA,NA
Turdus migratorius,NA,Passeriformes,13,2,4,NA,3,NA,NA,12
Turdus rubrocanus,NA,Passeriformes,NA,2,4,NA,NA,NA,NA,NA
Turnix sylvatica,NA,Charadriiformes,9,2,7,4,NA,1.22,NA,48
Xanthopsar flavus,NA,Passeriformes,NA,3,5,4,1,NA,NA,NA
