species,matched_name,order,longevity_maxrecorded,clutchsize_min,clutchsize_max,clutchsize_mean.usual,X.maxsuccesful._clutches_per_year,firstbreeding_minmonths,firstbreeding_maxmonths,firstbreeding_meanmonths
Gavia pacifica,Gavia pacifica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gavia stellata,Gavia stellata,Gaviiformes,23,1,3,2,NA,24,36,NA
Geococcyx californianus,Geococcyx californianus,Cuculiformes,NA,2,6,NA,3,NA,NA,NA
Geopelia striata,Geopelia striata,Columbiformes,NA,NA,NA,2,NA,NA,NA,NA
Geospiza fortis,Geospiza fortis,Passeriformes,NA,NA,NA,4,NA,NA,NA,NA
Grus antigone,Grus antigone,Gruiformes,NA,2,3,NA,NA,24,36,NA
Grus monacha,Grus monacha,Gruiformes,NA,NA,NA,2,NA,36,48,NA
Grus nigricollis,Grus nigricollis,Gruiformes,NA,NA,NA,2,NA,NA,NA,NA
Grus paradisea,Grus paradisea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grus rubicunda,Grus rubicunda,Gruiformes,NA,NA,NA,2,NA,36,60,NA
Grus virgo,Grus virgo,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnomystax mexicanus,Gymnomystax mexicanus,Passeriformes,NA,NA,NA,3,NA,NA,NA,NA
Haematopus ater,Haematopus ater,Charadriiformes,NA,1,2,2,NA,NA,NA,NA
Carpodacus cassinii,Haemorhous cassinii,Passeriformes,6,3,6,NA,1,NA,NA,NA
Carpodacus mexicanus,Haemorhous mexicanus,Passeriformes,11,4,6,NA,3,NA,NA,12
Halcyon pileata,Halcyon pileata,Coraciiformes,8,4,5,NA,1,NA,NA,NA
Hemignathus wilsoni,Hemignathus wilsoni,Passeriformes,NA,1,3,1,NA,NA,NA,NA
Henicorhina leucosticta,Henicorhina leucosticta,Passeriformes,NA,NA,NA,2,NA,NA,NA,NA
Coccothraustes vespertinus,Hesperiphona vespertina,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himantopus mexicanus,Himantopus mexicanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himatione sanguinea,Himatione sanguinea,Passeriformes,NA,1,4,3,NA,NA,NA,NA
Hirundo rustica,Hirundo rustica,Passeriformes,15,2,7,NA,3,NA,NA,NA
Hyliota flavigaster,Hyliota flavigaster,Passeriformes,NA,NA,NA,2,NA,NA,NA,NA
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,Pelecaniformes,NA,2,6,NA,NA,NA,NA,NA
Ixobrychus eurhythmus,Ixobrychus eurhythmus,Pelecaniformes,NA,3,6,NA,NA,NA,NA,NA
Jacana jacana,Jacana jacana,Charadriiformes,NA,NA,NA,4,NA,NA,NA,NA
Jacana spinosa,Jacana spinosa,Charadriiformes,NA,NA,NA,4,2,12,NA,24
Larus crassirostris,Larus crassirostris,Charadriiformes,NA,2,3,NA,NA,NA,NA,NA
Larus dominicanus,Larus dominicanus,Charadriiformes,NA,NA,NA,3,NA,NA,NA,NA
Leiothrix argentauris,Leiothrix argentauris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiothrix lutea,Leiothrix lutea,Passeriformes,NA,3,5,NA,NA,NA,NA,NA
Leptotila verreauxi,Leptotila verreauxi,Columbiformes,NA,1,3,2,NA,NA,NA,NA
Phalacrocorax chalconotus,Leucocarbo chalconotus,Suliformes,NA,2,3,NA,NA,NA,NA,NA
Leucosticte arctoa,Leucosticte arctoa,Passeriformes,NA,2,5,NA,1,NA,NA,NA
Leucosticte brandti,Leucosticte brandti,Passeriformes,NA,3,5,NA,NA,NA,NA,NA
Lophophorus lhuysii,Lophophorus lhuysii,Galliformes,NA,3,5,NA,NA,NA,NA,24
Lophophorus sclateri,Lophophorus sclateri,Galliformes,NA,2,3,NA,NA,NA,NA,NA
Lophura nycthemera,Lophura nycthemera,Galliformes,NA,NA,12,NA,NA,NA,NA,12
Lophura swinhooi,Lophura swinhoii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxia curvirostra,Loxia curvirostra,Passeriformes,8,3,6,NA,4,NA,12,NA
Loxops caeruleirostris,Loxops caeruleirostris,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Loxops coccineus,Loxops coccineus,Passeriformes,NA,1,3,NA,NA,NA,NA,NA
Macroagelaius imthurni,Macroagelaius imthurni,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA
Malurus melanocephalus,Malurus melanocephalus,Passeriformes,NA,2,5,NA,NA,NA,NA,NA
Melopsittacus undulatus,Melopsittacus undulatus,Psittaciformes,NA,4,8,NA,NA,NA,NA,NA
Mionectes oleagineus,Mionectes oleagineus,Passeriformes,NA,2,5,3,NA,NA,NA,NA
Montifringilla adamsi,Montifringilla adamsi,Passeriformes,NA,NA,NA,4,NA,NA,NA,NA
Montifringilla nivalis,Montifringilla nivalis,Passeriformes,NA,4,5,NA,2,NA,NA,NA
Morus serrator,Morus serrator,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninox novaeseelandiae,Ninox novaeseelandiae,Strigiformes,NA,2,3,NA,NA,24,NA,12
Spizaetus alboniger,Nisaetus alboniger,Accipitriformes,NA,NA,NA,NA,NA,NA,NA,NA
Spizaetus nipalensis,Nisaetus nipalensis,Accipitriformes,NA,NA,2,1,NA,NA,NA,NA
Notiomystis cincta,Notiomystis cincta,Passeriformes,NA,2,6,NA,2,NA,NA,NA
Numida meleagris,Numida meleagris,Galliformes,NA,6,12,NA,1,NA,NA,NA
Nyctibius grandis,Nyctibius grandis,Caprimulgiformes,NA,NA,NA,1,NA,NA,NA,NA
Nyctibius griseus,Nyctibius griseus,Caprimulgiformes,NA,NA,NA,1,NA,NA,NA,NA
Oedistoma iliolophum,Oedistoma iliolophum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreomystis bairdi,Oreomystis bairdi,Passeriformes,NA,NA,NA,NA,2,NA,NA,NA
Oreopsar bolivianus,Oreopsar bolivianus,Passeriformes,NA,NA,NA,3,NA,NA,NA,NA
Oriolus chinensis,Oriolus chinensis,Passeriformes,NA,2,4,NA,NA,NA,NA,NA
Parus venustulus,Pardaliparus venustulus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paroreomyza montana,Paroreomyza montana,Passeriformes,NA,NA,NA,2,NA,36,NA,NA
Parus major,Parus major,Passeriformes,15,5,18,NA,2,NA,12,NA
Passer domesticus,Passer domesticus,Passeriformes,13,2,8,NA,4,NA,NA,12
Passer montanus,Passer montanus,Passeriformes,4,2,7,NA,4,NA,NA,NA
Pavo cristatus,Pavo cristatus,Galliformes,NA,3,8,NA,NA,NA,NA,NA
Pavo muticus,Pavo muticus,Galliformes,NA,3,6,NA,NA,NA,NA,NA
Pedionomus torquatus,Pedionomus torquatus,Charadriiformes,NA,2,5,NA,NA,NA,NA,12
Pelecanus conspicillatus,Pelecanus conspicillatus,Pelecaniformes,NA,1,4,2,NA,NA,NA,NA
Perdix dauurica,Perdix dauurica,Galliformes,NA,12,20,NA,NA,NA,NA,NA
Perdix hodgsoniae,Perdix hodgsoniae,Galliformes,NA,6,12,NA,NA,NA,NA,NA
Periparus ater,Periparus ater,Passeriformes,NA,5,13,NA,2,NA,NA,12
Petroica boodang,Petroica boodang,Passeriformes,10,1,4,3,3,NA,NA,NA
Petroica phoenicea,Petroica phoenicea,Passeriformes,9,3,4,NA,3,NA,NA,NA
Phaethon Rubricauda,Phaethon rubricauda,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phasianus colchicus,Phasianus colchicus,Galliformes,NA,7,14,NA,NA,NA,NA,NA
Phasianus versicolor,Phasianus versicolor,Galliformes,NA,6,15,NA,NA,NA,NA,NA
Phodilus badius,Phodilus badius,Strigiformes,NA,2,5,NA,NA,NA,NA,NA
Phoebastria immutabilis,Phoebastria immutabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoebastria nigripes,Phoebastria nigripes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenicurus auroreus,Phoenicurus auroreus,Passeriformes,NA,3,6,NA,NA,NA,NA,NA
Pica pica,Pica pica,Passeriformes,NA,2,8,NA,1,15,17,NA
