Tips,species,matched_name,body_mass,max_longevity,age_first_breeding,litter_or_clutch_size_n,clutches_per_year,fecundity
Arborophila_rufipectus_NC012483,Arborophila rufipectus,Arborophila rufipectus,440,NA,NA,5.75,NA,NA
Arborophila_rufogularis_FJ752424,Arborophila rufogularis,Arborophila rufogularis,323.5,8.5,NA,4.5,NA,NA
Archilocus_colubris_NC010094,Archilochus colubris,Archilochus colubris,3.1425,9.1,364.234,2,2.25,4.5
Ardea_cinerea_NC025900,Ardea cinerea,Ardea cinerea,1443,37.5,730,4.305,1,4.305
Ardea_intermedia_NC025918,Ardea intermedia,Ardea intermedia,462,NA,NA,NA,NA,NA
Ardea_modesta_NC025916,Ardea modesta,Ardea alba,873.5,22.834,637.601,3.7,1.5,5.55
Ardea_novaehollandiae_NC008551,Ardea novaehollandiae,Egretta novaehollandiae,540.6,NA,NA,4.5,NA,NA
Ardea_purpurea_NC025919,Ardea purpurea,Ardea purpurea,903.875,25.417,546.734,4.2,1,4.2
Ardeola_bacchus_NC025921,Ardeola bacchus,Ardeola bacchus,306,NA,NA,4,2,8
Arenaria_interpres_NC003712,Arenaria interpres,Arenaria interpres,135,22.3,728.468,4,1,4
Athene_brama_KF961185,Athene brama,Athene brama,113,NA,NA,3.5,NA,NA
Attagis_gayi,Attagis gayi,Attagis gayi,311,NA,NA,4,NA,NA
Aythya_americana_NC000877,Aythya americana,Aythya americana,1056.25,22.6,365,9.295556,1,9.295556
Aythya_ferina_NC024602,Aythya ferina,Aythya ferina,853.5,23.2,365,8.8,1,8.8
Aythya_fuligula_NC_024595,Aythya fuligula,Aythya fuligula,701.5,45.25,365,9.6,1,9.6
Balaeniceps_rex_GU071053,Balaeniceps rex,Balaeniceps rex,5268,50,1090.404,2,1,2
Balearica_pavonina_NC020570,Balearica pavonina,Balearica pavonina,3590,13,1453.872,2.5,1,2.5
Balearica_regulorum_NC020569,Balearica regulorum,Balearica regulorum,3614.5,27.2,1453.872,2.5,1,2.5
Bambusicola_fytchii_NC020583,Bambusicola fytchii,Bambusicola fytchii,340.25,NA,NA,5,NA,NA
Bambusicola_thoracica_NC011816,Bambusicola thoracica,Bambusicola thoracicus,271,NA,NA,5,1,5
Bombycilla_cedrorum,Bombycilla cedrorum,Bombycilla cedrorum,32.04817,12.66667,365,4,1.9,7.6
Bonasia_bonasia_NC020591,Bonasa bonasia,Tetrastes bonasia,406.75,11,363.468,9,1,9
Botaurus_stellaris_NC025923,Botaurus stellaris,Botaurus stellaris,1277.75,11.33333,546.734,5,1,5
Branta_canadensis_NC007011,Branta canadensis,Branta canadensis,3984.5,42,730,5.15,1,5.15
Brotogeris_cyanoptera_HM627323,Brotogeris cyanoptera,Brotogeris cyanoptera,65.38,11.3,730,5.15,NA,NA
Bubulcus_ibis_NC025917,Bubulcus ibis,Bubulcus ibis,372,23,637.601,4.25,1,4.25
Bucanetes_mongolica,Bucanetes mongolica,Bucanetes mongolicus,21.9,NA,NA,4.9,NA,NA
Bucorvus_leadberti_NC015199,Bucorvus leadbeateri,Bucorvus leadbeateri,3920.5,70,1638.279,1.7,NA,NA
Burhinus_grallarius,Burhinus grallarius,Burhinus grallarius,667.9667,NA,NA,2,NA,NA
Buteo_burmanicus_KM364882,Buteo burmanicus,Buteo burmanicus,878.25,28.8,910.202,3,1,3
Buteo_buteo_NC003128,Buteo buteo,Buteo buteo,878.25,28.8,910.202,3,1,3
Butorides_striata_NC025922,Butorides striata,Butorides striata,198,11.6,730,3,1,3
Bycanistes_brevis_NC015201,Bycanistes brevis,Bycanistes brevis,1075,NA,NA,2,NA,NA
Cacatua_moluccensis_NC_020592,Cacatua moluccensis,Cacatua moluccensis,835,69,2000,2,NA,NA
Cacatua_pastinator_JF414240,Cacatua pastinator,Cacatua pastinator,600,26.3,2000,2.505,NA,NA
Cairina_moschata_NC010965,Cairina moschata,Cairina moschata,2228,NA,365,11,1.5,16.5
Caloperdix_oculeus,Caloperdix oculeus,Caloperdix oculeus,190.5,NA,NA,8.9,NA,NA
Calyptorhynchus_baudinii_NC020594,Calyptorhynchus baudinii,Calyptorhynchus baudinii,631.425,47,NA,2,NA,NA
Calyptorhynchus_lathami_NC020593,Calyptorhynchus lathami,Calyptorhynchus lathami,431.975,NA,1090.404,1,NA,NA
Calyptorhynchus_latirostris_NC020595,Calyptorhynchus latirostris,Calyptorhynchus latirostris,622.925,19,NA,1.5,NA,NA
Campylorhynchus_zonatus_NC022840,Campylorhynchus zonatus,Campylorhynchus zonatus,34.25,7.3,243,3.95,2,7.9
Cardinalis_cardinalis,Cardinalis cardinalis,Cardinalis cardinalis,43.05,28.5,364.234,3.12,2.5,7.8
Carduelis_pinus,Carduelis pinus,Spinus pinus,13.05,11,363.468,3.5,1.5,5.25
Carduelis_psaltria,Carduelis psaltria,Spinus psaltria,9.115,5.7,NA,4,1,4
Carduelis_sinica_NC015196,Carduelis sinica,Chloris sinica,19.6,NA,NA,3.2,2,6.4
Carduelis_spinus_NC015198,Carduelis spinus,Spinus spinus,13.5,13.5,364.234,4,2,8
Carpodacus_cassini,Carpodacus cassinii,Haemorhous cassinii,27.475,7,365,4.5,1.25,5.625
Carpodacus_erythrinus,Carpodacus erythrinus,Carpodacus erythrinus,24.25,9,365,4.9,1,4.9
Carpodacus_mexicanus,Carpodacus mexicanus,Haemorhous mexicanus,21.4,11.6,363.468,4.305,2.5,10.7625
Carpodacus_roseus,Carpodacus roseus,Carpodacus roseus,28,NA,NA,4.5,2,9
Casuarius_bennetti_AY016011,Casuarius bennetti,Casuarius bennetti,30500,26,1461,5,NA,NA
Casuarius_casuarius_NC002778,Casuarius casuarius,Casuarius casuarius,44000,30,1453.872,5.666937,2.499848,14.16648113
Catharacta_skua,Catharacta skua,Stercorarius skua,1420.25,34.5,1821.936,2,1,2
Cathartes_aura_NC007628,Cathartes aura,Cathartes aura,1776,20.8,730.5,2,1,2
Cecropis_daurica_NC_024107,Cecropis daurica,Cecropis daurica,22.225,9,363.468,4.065,2,8.13
Ceryle_rudis_NC024280,Ceryle rudis,Ceryle rudis,84.4,5,363.468,5,1.5,7.5
Chalcophaps_indica_HM746789,Chalcophaps indica,Chalcophaps indica,136.9833,NA,NA,2,NA,NA
Charadrius_vociferus,Charadrius vociferus,Charadrius vociferus,94.275,10.91667,365,4,15,60
Chionis_minor,Chionis minor,Chionis minor,551,NA,1460,2.295,NA,NA
Chlorophanes_spiza,Chlorophanes spiza,Chlorophanes spiza,18.75,NA,NA,2,NA,NA
Chroicocephalus_ridibundus_KM577662,Chroicocephalus ridibundus,Chroicocephalus ridibundus,271.6667,63,728.468,2.7,1,2.7
Chrysolampis_mosquitus_NC025786,Chrysolampis mosquitus,Chrysolampis mosquitus,4.2125,NA,730,2,NA,NA
Chrysolophus_amherstiae_NC014576,Chrysolophus amherstiae,Chrysolophus amherstiae,714,19.6,363.468,7.75,1,7.75
Chrysolophus_picta_FJ752433,Chrysolophus picta,Chrysolophus pictus,633.75,13.4,364.234,8.75,1,8.75
Chrysomus_cyanopus_NC018813,Chrysomus cyanopus,Agelasticus cyanopus,32.3,NA,NA,3,NA,NA
Chrysomus_icterocephalus_NC018799,Chrysomus icterocephalus,Chrysomus icterocephalus,31.85,NA,NA,2.7,NA,NA
Chrysomus_ruficapillus_NC018796,Chrysomus ruficapillus,Chrysomus ruficapillus,36.75,NA,NA,3,NA,NA
Chrysomus_thilius_NC018807,Chrysomus thilius,Agelasticus thilius,31.7,NA,NA,3,NA,NA
Chrysomus_xanthophthalmus_NC018798,Chrysomus xanthophthalmus,Agelasticus xanthophthalmus,45.1,NA,NA,NA,NA,NA
Ciconia_boyciana_NC002196,Ciconia boyciana,Ciconia boyciana,3538,48.1,1277.875,4,1,4
Ciconia_ciconia_NC002197,Ciconia ciconia,Ciconia ciconia,3350,48,1277.875,4,1,4
Ciconia_nigra_NC023946,Ciconia nigra,Ciconia nigra,3000,31.3,1090.404,3.5,1,3.5
Cnemotriccus_fuscatus_NC007975,Cnemotriccus fuscatus,Cnemotriccus fuscatus,13.6,NA,NA,3,NA,NA
Coccothraustes_coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,56.05,12.6,364.234,4,1,4
Coccothraustes_vespertinus,Coccothraustes vespertinus,Hesperiphona vespertina,59.5,17,363.468,3.5,1.25,4.375
Colinus_virginianus_NC024620,Colinus virginianus,Colinus virginianus,173.3333,6.416667,364.234,13,1.5,19.5
Columba_janthina_KM926619,Columba janthina,Columba janthina,397,NA,NA,1,NA,NA
Columba_livia_NC013978,Columba livia,Columba livia,320,35,140,2,4,8
Corvus_brachyrhynchos_NC026461,Corvus brachyrhynchos,Corvus brachyrhynchos,453,59,730,4.59,1,4.59
Corvus_cornix_NC_024698,Corvus cornix,Corvus cornix,544.5,19.2,910.968,4.5,1,4.5
Corvus_frugilegus_NC002069,Corvus frugilegus,Corvus frugilegus,453.5,22.91667,546.734,4,1,4
Corvus_hawaiiensis_NC_026783,Corvus hawaiiensis,Corvus hawaiiensis,520,25,730,4,1,4
Corvus_macrorhynchos_KR057957,Corvus macrorhynchos,Corvus macrorhynchos,544.75,NA,NA,4.9,NA,NA
Corvus_splendens_KJ766304,Corvus splendens,Corvus splendens,312,5.083333,NA,4.5,2,9
Coturnicops_exquisitus_NC012143,Coturnicops exquisitus,Coturnicops exquisitus,60.9,NA,NA,8.015,NA,NA
Coturnix_chinensis_NC004575,Coturnix chinensis,Excalfactoria chinensis,41,5,1095,6,1,6
Coturnix_japonica_NC003408,Coturnix japonica,Coturnix japonica,96.6,14.58333,213.234,10.2,1.25,12.75
Crax_daubentoni_NC024617,Crax daubentoni,Crax daubentoni,2644,NA,NA,2,NA,NA
Crax_rubra_NC024618,Crax rubra,Crax rubra,4133,24,NA,2,NA,NA
Crossopptilon_auritum_NC015897,Crossoptilon auritum,Crossoptilon auritum,1785,NA,NA,8,1,8
Crossoptilon_crossoptilon_NC016679,Crossoptilon crossoptilon,Crossoptilon crossoptilon,1962.5,NA,NA,6,2,12
Crossoptilon_harmani_NC026547,Crossoptilon harmani,Crossoptilon harmani,1962.5,NA,NA,6,2,12
Crossoptilon_mantchuricum_NC026548,Crossoptilon mantchuricum,Crossoptilon mantchuricum,1962.5,NA,NA,7.5,NA,NA
Crotophaga_ani_HM746794,Crotophaga ani,Crotophaga ani,112.625,NA,730.5,4.15,3,12.45
