species,Tips,matched_name
Calyptorhynchus lathami,Calyptorhynchus_lathami_NC020593,Calyptorhynchus lathami
Calyptorhynchus latirostris,Calyptorhynchus_latirostris_NC020595,Calyptorhynchus latirostris
Campylorhynchus zonatus,Campylorhynchus_zonatus_NC022840,Campylorhynchus zonatus
Cardinalis cardinalis,Cardinalis_cardinalis,Cardinalis cardinalis
Carduelis pinus,Carduelis_pinus,Spinus pinus
Carduelis psaltria,Carduelis_psaltria,Spinus psaltria
Carduelis sinica,Carduelis_sinica_NC015196,Chloris sinica
Carduelis spinus,Carduelis_spinus_NC015198,Spinus spinus
Carpodacus cassinii,Carpodacus_cassini,Haemorhous cassinii
Carpodacus erythrinus,Carpodacus_erythrinus,Carpodacus erythrinus
Carpodacus mexicanus,Carpodacus_mexicanus,Haemorhous mexicanus
Carpodacus roseus,Carpodacus_roseus,Carpodacus roseus
Casuarius bennetti,Casuarius_bennetti_AY016011,Casuarius bennetti
Casuarius casuarius,Casuarius_casuarius_NC002778,Casuarius casuarius
Catharacta skua,Catharacta_skua,Stercorarius skua
Cathartes aura,Cathartes_aura_NC007628,Cathartes aura
Cecropis daurica,Cecropis_daurica_NC_024107,Cecropis daurica
Ceryle rudis,Ceryle_rudis_NC024280,Ceryle rudis
Chalcophaps indica,Chalcophaps_indica_HM746789,Chalcophaps indica
Charadrius vociferus,Charadrius_vociferus,Charadrius vociferus
Chionis minor,Chionis_minor,Chionis minor
Chlorophanes spiza,Chlorophanes_spiza,Chlorophanes spiza
Chroicocephalus ridibundus,Chroicocephalus_ridibundus_KM577662,Chroicocephalus ridibundus
Chrysolampis mosquitus,Chrysolampis_mosquitus_NC025786,Chrysolampis mosquitus
Chrysolophus amherstiae,Chrysolophus_amherstiae_NC014576,Chrysolophus amherstiae
Chrysolophus picta,Chrysolophus_picta_FJ752433_,Chrysolophus pictus
Chrysomus cyanopus,Chrysomus_cyanopus_NC018813,Agelasticus cyanopus
Chrysomus icterocephalus,Chrysomus_icterocephalus_NC018799,Chrysomus icterocephalus
Chrysomus ruficapillus,Chrysomus_ruficapillus_NC018796,Chrysomus ruficapillus
Chrysomus thilius,Chrysomus_thilius_NC018807,Agelasticus thilius
Chrysomus xanthophthalmus,Chrysomus_xanthophthalmus_NC018798,Agelasticus xanthophthalmus
Ciconia boyciana,Ciconia_boyciana_NC002196,Ciconia boyciana
Ciconia ciconia,Ciconia_ciconia_NC002197,Ciconia ciconia
Ciconia nigra,Ciconia_nigra_NC023946,Ciconia nigra
Coccothraustes coccothraustes,Coccothraustes_coccothraustes,Coccothraustes coccothraustes
Coccothraustes vespertinus,Coccothraustes_vespertinus,Hesperiphona vespertina
