species,Tips,matched_name
Sterna eurygnatha,Sterna_eurygnatha,Thalasseus acuflavidus
Streptopelia chinensis,Streptopelia_chinensis_KP636801,Spilopelia chinensis
Sturnus cineraceus,Sturnus_cineraceus_NC_015237,Spodiopsar cineraceus
Sturnus nigricollis,Sturnus_nigricollis_NC020423,Gracupica nigricollis
Sturnus sericeus,Sturnus_sericeus_NC014455,NA
Sula dactylatra,Sula_dactylatra_KC875857,Sula dactylatra
Sylvia atricapilla,Sylvia_atricapilla_NC010228,Sylvia atricapilla
Sylvia crassirostris,Sylvia_crassirostris_NC010229,Sylvia crassirostris
Sylviparus modestus,Sylviparus_modestus_NC_026793,Sylviparus modestus
Synthliboramphus antiquus,Synthliboramphus_antiquus_NC007978,Synthliboramphus antiquus
Syrmaticus ellioti,Syrmaticus_ellioti_NC010771,Syrmaticus ellioti
Syrmaticus humiae,Syrmaticus_humiae_NC010774,Syrmaticus humiae
Syrmaticus iljimae,Syrmaticus_ijimae_NC010767,Syrmaticus soemmerringii
Syrmaticus reevesii,Syrmaticus_reevesii_NC010770,Syrmaticus reevesii
Tachybaptus novaehollandiae,Tachypatpus_novaehollandiae_NC010095,Tachybaptus novaehollandiae
Tachycineta albilinea,Tachycineta_albilinea_NC020601,Tachycineta albilinea
Tachycineta albiventer,Tachycineta_albiventer_NC020602,Tachycineta albiventer
Tachycineta bicolor,Tachycinera_bicolor_NC020596,Tachycineta bicolor
Tachycineta cyaneoviridis,Tachycineta_cyaneoviridis_NC020599,Tachycineta cyaneoviridis
Tachycineta euchrysea,Tachycineta_euchrysea_NC020598,Tachycineta euchrysea
Tachycineta leucorrhoa,Tachycineta_leucorrhoa_NC020603,Tachycineta leucorrhoa
Tachycineta meyeni,Tachycineta_meyeni_NC020604,Tachycineta leucopyga
Tachycineta stolzmanni,Tachycineta_stolzmanni_NC020600,Tachycineta stolzmanni
Tachycineta thalassina,Tachycineta_thalassina_NC020597_,Tachycineta thalassina
Tadorna ferruginea,Tadorna_ferruginea_NC_024640,Tadorna ferruginea
Taeniopygia guttata,Taeniopygia_guttata_NC_007897_,Taeniopygia guttata
Tetraogallus tibetanus,Tetraogallus_tibetanus_NC023939,Tetraogallus tibetanus
Tetraophasis obscurus,Tetraophasis_obscurus_NC018034,Tetraophasis obscurus
Tetraophasis szechenyii,Tetraophasis_szechenyii_NC020613,Tetraophasis szechenyii
Tetrastes sewerzowi,Tetrastes_sewerzowi_NC025318,Tetrastes sewerzowi
Thraupis episcopus,Thraupis_episcopus,Thraupis episcopus
Threskiornis aethiopicus,Threskiornis_aethiopicus_NC013146,Threskiornis aethiopicus
Tragopan caboti,Tragopan_caboti_NC013619,Tragopan caboti
Tragopan temminckii,Tragopan_temminckii_NC020586,Tragopan temminckii
Tregellasia leucops,Tregellasia_leucops,Tregellasia leucops
Turdus hortulorum,Turdus_hortulorum,Turdus hortulorum
Turdus migratorius,Turdus_migratorius,Turdus migratorius
Turdus naumanni,Turdus_naumanni_KJ834096,Turdus naumanni
Turtur tympanistria,Turtur_tympanistria_HM746793,Turtur tympanistria
Tyto alba,Tyto_alba_EU410491,Tyto alba
Uragus sibiricus,Uragus_sibiricus,Carpodacus sibiricus
Urocissa erythrorhyncha,Urocissa_erythrorhyncha_NC020426,Urocissa erythroryncha
Vanellus cinereus,Vanellus_cinereus_KM873665,Vanellus cinereus
Vanellus vanellus,Vanellus_vanellus_NC025637,Vanellus vanellus
Vestiaria coccinea,Vestiaria_coccinea,Drepanis coccinea
Vidua chalybeata,Vidua_chalybeata_NC000880,Vidua chalybeata
Vireo olivaceus,Vireo_olivaceus,Vireo olivaceus
Xanthopsar flavus,Xanthopsa_flavus_NC_018804,Xanthopsar flavus
Zenaida auriculata,Zenaida_auriculata_HM640211,Zenaida auriculata
Athene brama,Athene_brama_KF961185,Athene brama
Bombycilla cedrorum,Bombycilla_cedrorum,Bombycilla cedrorum
Cnemotriccus fuscatus,Cnemotriccus_fuscatus_NC007975,Cnemotriccus fuscatus
Crypturellus tataupa,Crypturellus_tataupa_AY016012,Crypturellus tataupa
Eudromia elegans,Eudromia_elegans_NC002772,Eudromia elegans
Mionectes oleagineus,Mionectes_oleagineus_KJ742591,Mionectes oleagineus
Ninox novaeseelandiae,Ninox_novaeseelandiae_NC005932,Ninox novaeseelandiae
Notiomystis cincta,Notiomystis_cincta,Notiomystis cincta
Oedistoma iliolophum,Oedistoma_iliolophum,Oedistoma iliolophus
Phaethon Rubricauda,Phaeton_rubricauda_NC007979,Phaethon rubricauda
Pitta nympha,Pitta_nympha_NC_027067,Pitta nympha
Regulus regulus,Regulus_regulus,Regulus regulus
Rhynochetos jubatus,Rhynochetos_jubatus_NC010091,Rhynochetos jubatus
Scytalopus magellanicus,Scytalopus_magellanicus,Scytalopus magellanicus
Smithornis sharpei,Smithornis_sharpei_NC000879,Smithornis sharpei
Thamnophilus nigrocinereus,Thamnophilus_nigrocinereus,Thamnophilus nigrocinereus
Acanthisitta chloris,Acanthisitta_chloris_AY325307,Acanthisitta chloris
Aegotheles cristatus,Aegotheles_cristatus_NC011718,Aegotheles cristatus
Anseranas semipalmata,Anseranas_semipalmata_NC005933,Anseranas semipalmata
Cursorius temminckii,Cursorius_temminckii,Cursorius temminckii
Cyanoptila cyanomelana,Cyanoptila_cyanomela_NC015232,Cyanoptila cyanomelana
Dendrocygna javanica,Dendrocygna_javanica_NC012844,Dendrocygna javanica
Eurystomus orientalis,Eurystomus_orientalis_NC_011716,Eurystomus orientalis
Fregatta sp,Fregatta_sp_AP009192,NA
Heliornis fulica,Heliornis_fulica_NC025499,Heliornis fulica
Ithaginis cruentus,Ithaginis_cruentus_NC018033,Ithaginis cruentus
Lanius tephronotus,Lanius_tephronotus_NC021105,Lanius tephronotus
Menura novaehollandiae,Menura_novaehollandiae_NC007883,Menura novaehollandiae
Otis tarda,Otis_tarda_NC014046,Otis tarda
Pandion haliaetus,Pandion_haliaetus_NC008550,Pandion haliaetus
Picathartes gymnocephalus,Picathartes_gymnocephalus,Picathartes gymnocephalus
Pterocles namaqua,Pterocles_namaquaa,Pterocles namaqua
Pucrasia macrolopha,Pucrasia_macrolopha_NC020587,Pucrasia macrolopha
Remiz consobrinus,Remiz_consobrinus_NC021641,Remiz consobrinus
Strigops habroptila,Strigops_habroptilus_NC005931,Strigops habroptila
Struthio camelus,Struthio_camelus_NC_002785,Struthio camelus
Trogon viridis,Trogon_viridis_NC011714,Trogon viridis
Turnix sylvaticus,Turnix_sylvatica,Turnix sylvaticus
